pr_id,author,created_at,merged_at,num_comments,num_review_comments,num_commits,accepted
5291,akinolaemmanuel49,2023-10-06T21:23:38Z,2023-10-06T23:37:42Z,0,0,2,True
5287,firefly-cpp,2023-10-05T14:00:16Z,2023-10-07T00:36:40Z,0,0,1,True
5270,pgjones,2023-10-01T16:25:23Z,2024-04-07T19:16:22Z,0,0,1,True
5264,pgjones,2023-09-24T15:19:08Z,2023-09-30T14:25:31Z,0,0,1,True
5262,nick2202,2023-09-22T08:24:57Z,2023-09-24T14:58:23Z,1,0,1,True
5257,pgjones,2023-09-16T15:01:43Z,2023-09-30T14:37:24Z,0,0,2,True
5248,dependabot[bot],2023-09-01T16:30:38Z,2023-09-05T21:02:38Z,0,0,1,True
5247,dependabot[bot],2023-09-01T16:30:32Z,2023-09-05T21:02:29Z,0,0,1,True
5246,dependabot[bot],2023-09-01T16:30:29Z,2023-09-05T21:01:16Z,0,0,1,True
5242,davidism,2023-08-29T13:08:11Z,2023-08-29T13:09:59Z,0,0,1,True
5238,pgjones,2023-08-27T09:20:23Z,2023-08-27T14:12:04Z,0,0,1,True
5232,davidism,2023-08-21T17:56:32Z,2023-08-21T19:52:54Z,0,0,1,True
5231,davidism,2023-08-21T16:40:41Z,2023-08-21T16:42:21Z,1,0,1,True
5223,davidism,2023-08-16T22:06:45Z,2023-08-16T22:08:53Z,0,0,1,True
5217,pavithra-m13,2023-08-12T11:43:29Z,2023-08-16T21:29:40Z,0,0,2,True
5215,hauntsaninja,2023-08-08T09:13:19Z,2023-08-16T20:35:14Z,1,0,1,True
5213,dependabot[bot],2023-08-01T16:56:23Z,2023-08-01T16:59:06Z,0,0,1,True
5212,dependabot[bot],2023-08-01T16:56:19Z,2023-08-01T16:58:55Z,0,0,1,True
5211,pre-commit-ci[bot],2023-08-01T08:45:57Z,2023-08-01T16:17:48Z,0,0,1,True
5187,pre-commit-ci[bot],2023-07-04T06:36:30Z,2023-07-04T13:18:23Z,0,0,1,True
5186,dependabot[bot],2023-07-01T16:16:29Z,2023-07-01T16:24:20Z,0,0,1,True
5185,dependabot[bot],2023-07-01T16:16:25Z,2023-07-01T16:24:11Z,0,0,1,True
5184,dependabot[bot],2023-07-01T16:16:23Z,2023-07-01T16:23:57Z,0,0,1,True
5183,dependabot[bot],2023-07-01T16:16:20Z,2023-07-01T16:23:36Z,0,0,1,True
5182,pamelafox,2023-07-01T14:11:40Z,2023-07-03T12:58:14Z,2,0,1,True
5180,ToolMoney,2023-06-30T00:25:26Z,2023-06-30T00:28:25Z,0,0,1,True
5177,davidism,2023-06-27T21:15:31Z,2023-06-27T21:17:46Z,1,0,3,True
5171,MohammadMMoniri,2023-06-21T15:02:57Z,2023-06-21T16:32:37Z,0,0,1,True
5161,davidism,2023-06-09T16:37:15Z,2023-06-09T16:38:59Z,0,0,1,True
5157,davidism,2023-06-07T20:16:28Z,2023-06-07T20:21:49Z,0,0,2,True
5154,pre-commit-ci[bot],2023-06-06T04:21:32Z,2023-06-07T19:53:30Z,0,0,2,True
5150,dependabot[bot],2023-06-01T16:56:51Z,2023-06-01T18:49:17Z,0,0,1,True
5149,dependabot[bot],2023-06-01T16:56:47Z,2023-06-01T18:47:53Z,0,0,1,True
5148,dependabot[bot],2023-06-01T16:56:44Z,2023-06-01T18:46:49Z,0,0,1,True
